n_triangles,n_cross,n_persistent,f_cross,f_persistent,label,domain,m,f_transient
103760,98621,19139.0,0.9504722436391673,0.19406617251903752,contact-primary-school,contact,8317,0.8059338274809624
34220,31850,5068.0,0.9307422559906487,0.15912087912087913,contact-high-school,contact,5818,0.8408791208791209
9895,3317,671.0,0.3352198079838302,0.20229122701236057,email-Enron,email,1800,0.7977087729876394
395205,234600,60622.0,0.5936159714578509,0.2584057971014493,email-Eu,email,29299,0.7415942028985507
40541,9064,2257.0,0.22357613280382824,0.24900706090026478,NDC-classes,drugs,6222,0.7509929390997352
1829056,1136357,298444.0,0.6212805950173204,0.26263225377236205,NDC-substances,drugs,88268,0.737367746227638
6716742,5682552,2097512.340204,0.8460280296608088,0.3691145,DAWN,drugs,122963,0.6308855
56990405,44857465,25663404.30115,0.7871055662790956,0.57211,congress-bills,legislation,424932,0.42789
2915901,2666353,932095.0,0.9144182192742484,0.34957674396450883,tags-math-sx,tags,91685,0.6504232560354912
3567427,3288058,934934.0,0.9216889371527435,0.2843423078303363,tags-ask-ubuntu,tags,132703,0.7156576921696637
