method,k,sep_mean,sep_std,rel_err
localized,200,0.3111111111111111,0.14740554623801774,0.246232427913015
localized,500,0.2888888888888889,0.19999999999999998,0.1437680210414201
localized,1000,0.28888888888888886,0.13333333333333336,0.10108845379245743
localized,2000,0.3333333333333333,0.09938079899999065,0.056103142812260615
localized,5000,0.3333333333333333,0.09938079899999065,0.04483191716808257
localized,10000,0.30000000000000004,0.07114582486036498,0.030988954274971614
localized,20000,0.31111111111111117,0.044444444444444446,0.023275093667764847
weighted,200,0.28888888888888886,0.16629588385661961,0.16174995255541508
weighted,500,0.33333333333333337,0.15713484026367724,0.11384135855673644
weighted,1000,0.2555555555555556,0.12222222222222223,0.08107491619740308
weighted,2000,0.31111111111111117,0.09686442096757052,0.04952680701898716
weighted,5000,0.2888888888888889,0.05443310539518173,0.03511656402499489
weighted,10000,0.31111111111111117,0.044444444444444446,0.021671678003187658
weighted,20000,0.33333333333333337,5.551115123125783e-17,0.015849601937547766
