label,domain,n,m,n_cross,frac_vertices_with_copies,top100_share,gini
contact-primary-school,contact,242,8317,98621,1.0,0.6810043837857387,0.36233811645511715
contact-high-school,contact,327,5818,31850,1.0,0.5079644165358451,0.31261523099006716
email-Enron,email,143,1800,3317,0.986013986013986,0.9603054969349815,0.509013045039575
email-Eu,email,979,29299,234600,0.8896833503575077,0.5413185564080705,0.7200478128217431
NDC-classes,drugs,1149,6222,9064,0.1801566579634465,0.9499117387466902,0.9355977709104532
NDC-substances,drugs,3438,88268,1136357,0.5378126817917394,0.49194487295805805,0.8966728054115338
DAWN,drugs,2290,122963,5682552,0.8388646288209607,0.3634436311948106,0.8211323267875997
congress-bills,legislation,1718,424932,44857465,0.9994179278230501,0.15411182954721137,0.40169932493529653
tags-math-sx,tags,1627,91685,2666353,0.9692685925015365,0.43461374644192524,0.7434210596839523
tags-ask-ubuntu,tags,3021,132703,3288058,0.958291956305859,0.4322219985170578,0.8267656987497154
