label,domain,method,k,prec_mean,prec_std,spearman
contact-primary-school,contact,localized,200,0.53625,0.029127950494327603,0.330519683738823
contact-primary-school,contact,localized,500,0.6875,0.03418698582794335,0.5348371343729013
contact-primary-school,contact,localized,1000,0.7362500000000001,0.018666480653835114,0.694905338714271
contact-primary-school,contact,localized,2000,0.79625,0.01932453104217537,0.8205108121135312
contact-primary-school,contact,localized,5000,0.85875,0.016909686573085867,0.9176741060969462
contact-primary-school,contact,localized,10000,0.91,0.022912878474779203,0.9626796095615602
contact-primary-school,contact,localized,20000,0.9312499999999999,0.016153559979150075,0.9791002198299243
contact-primary-school,contact,localized,50000,0.9537499999999999,0.014947825928876739,0.9908767490692842
contact-primary-school,contact,weighted,200,0.6125,0.04380353866983808,0.442193902511991
contact-primary-school,contact,weighted,500,0.67625,0.04635124054434789,0.5781817325044727
contact-primary-school,contact,weighted,1000,0.71375,0.03805834336909582,0.700364997543855
contact-primary-school,contact,weighted,2000,0.8087500000000001,0.022603926650031376,0.8393698101793146
contact-primary-school,contact,weighted,5000,0.87125,0.01763341997458237,0.9227202837281316
contact-primary-school,contact,weighted,10000,0.9087500000000001,0.012686114456365286,0.9536026667713506
contact-primary-school,contact,weighted,20000,0.92125,0.014523687548277809,0.9760023136860536
contact-primary-school,contact,weighted,50000,0.9575,0.008291561975888507,0.9898107458219472
contact-high-school,contact,localized,200,0.41375,0.06440836513994125,0.2785522677564455
contact-high-school,contact,localized,500,0.5475000000000001,0.04205650960315181,0.4291241415525556
contact-high-school,contact,localized,1000,0.58125,0.030998991919093086,0.5834851156962747
contact-high-school,contact,localized,2000,0.65125,0.03257203555198845,0.7037225102128475
contact-high-school,contact,localized,5000,0.745,0.027838821814150136,0.842463020253455
contact-high-school,contact,localized,10000,0.8037500000000001,0.015761900266148092,0.9193745399864388
contact-high-school,contact,localized,20000,0.84125,0.02420614591379635,0.9508006131953433
contact-high-school,contact,localized,50000,0.9025000000000001,0.006614378277661483,0.9810736737899297
contact-high-school,contact,weighted,200,0.46375,0.0463512405443479,0.33847529666950377
contact-high-school,contact,weighted,500,0.525,0.049497474683058325,0.48941349045304744
contact-high-school,contact,weighted,1000,0.6025,0.044930501889028585,0.6235514899787774
contact-high-school,contact,weighted,2000,0.66125,0.035859970719452634,0.7400189752955202
contact-high-school,contact,weighted,5000,0.7375,0.028173569173961636,0.8513015940874937
contact-high-school,contact,weighted,10000,0.8125,0.011989578808281763,0.9153426498615356
contact-high-school,contact,weighted,20000,0.84875,0.018998355191963346,0.952418199279059
contact-high-school,contact,weighted,50000,0.90375,0.01494782592887676,0.9798782583767229
email-Enron,email,localized,200,0.74125,0.02204399011068552,0.3851966408506395
email-Enron,email,localized,500,0.7862500000000001,0.0193245310421754,0.5857990753151332
email-Enron,email,localized,1000,0.8524999999999999,0.026809513236909024,0.741629346825776
email-Enron,email,localized,2000,0.9199999999999999,0.016583123951776982,0.8712337981125489
email-Enron,email,localized,5000,0.95,0.011180339887498959,0.9422721161572782
email-Enron,email,localized,10000,0.9637499999999999,0.011110243021644496,0.9715947286418982
