label,m,n_triangles,kappa,kappa_copy,alpha,tau,separable,alpha_over_kappa,ours,bera_seshadhri,bera_chakrabarti_lb,ours_over_lb,ours_over_bs,N,b,ours_over_N,alpha_over_b
hubs r=1 d=64,192,64,2,2,2,2,True,1.0,6.0,6.0,24.0,0.25,1.0,,,,
hubs r=1 d=256,768,256,2,2,2,2,True,1.0,6.0,6.0,48.0,0.125,1.0,,,,
hubs r=4 d=64,576,64,2,2,2,2,True,1.0,18.0,18.0,72.0,0.25,1.0,,,,
hubs r=8 d=64,1088,64,2,2,2,2,True,1.0,34.0,34.0,136.0,0.25,1.0,,,,
friendship+decoy s=64,256,64,8,2,2,2,True,0.25,8.0,32.0,32.0,0.25,0.25,,,,
friendship+decoy s=256,1024,256,16,2,2,2,True,0.125,8.0,64.0,64.0,0.125,0.125,,,,
friendship+decoy s=1024,4096,1024,32,2,2,2,True,0.0625,8.0,128.0,128.0,0.0625,0.0625,,,,
BC N=6 b=15 d=2,345,450,17,17,9,19,True,0.5294117647058824,6.9,13.033333333333333,14.240201309438477,0.484543711852349,0.5294117647058824,6.0,15.0,1.1500000000000001,0.6
BC N=9 b=27 d=3,1215,2187,30,30,16,36,True,0.5333333333333333,8.88888888888889,16.666666666666668,19.364916731037084,0.4590202484393976,0.5333333333333333,9.0,27.0,0.9876543209876544,0.5925925925925926
BC N=12 b=42 d=3,2772,5292,45,45,24,54,True,0.5333333333333333,12.571428571428571,23.571428571428573,27.578459503232384,0.4558423058385518,0.5333333333333333,12.0,42.0,1.0476190476190477,0.5714285714285714
BC N=16 b=64 d=4,6656,16384,68,68,35,84,True,0.5147058823529411,14.21875,27.625,33.1436268383531,0.42900404561477756,0.5147058823529411,16.0,64.0,0.888671875,0.546875
BC N=20 b=89 d=4,12193,31684,93,93,48,113,True,0.5161290322580645,18.471910112359552,35.78932584269663,42.493828038296506,0.43469630685454375,0.5161290322580646,20.0,89.0,0.9235955056179777,0.5393258426966292
