label,m,kappa,kappa_copy,alpha,alpha_over_kappa,kappa_copy_over_kappa,n_cross,copy_density,loc_x,perfect_over_loc,permuted_over_loc,structural_share,perm_pvalue
cs-cocitations,42743,27,27,24,0.8888888888888888,1.0,142617,3.336616522003603,22.384207025371918,1.498426821066899,0.962141320372793,1.0759563450983023,0.000999000999000999
diseasome,1188,10,4,3,0.3,0.4,48,0.04040404040404041,10.717630748485115,3.9900640519565753,0.9778007241592661,1.0074243479253253,0.000999000999000999
hospital-lyon,1138,22,22,17,0.7727272727272727,1.0,7489,6.580843585237258,3.743321573864164,1.0879241574641232,0.9907257931044289,1.1054796220180492,0.000999000999000999
house-committees,5225,24,10,8,0.3333333333333333,0.4166666666666667,709,0.13569377990430623,7.461897593849242,6.46048355911533,0.9698315001038665,1.005524876976467,0.000999000999000999
hypertext-conference,2196,28,28,21,0.75,1.0,16493,7.510473588342441,3.991402739963005,1.1388262015279327,0.9920772491827125,1.0570695641751278,0.000999000999000999
invs13,754,11,11,9,0.8181818181818182,1.0,1704,2.259946949602122,5.611448825132567,1.2663198563455473,0.9798242528112271,1.075757577619729,0.000999000999000999
invs15,4274,25,25,21,0.84,1.0,21797,5.099906410856341,5.359575793164444,1.2600030719593889,0.9923938237844646,1.0292541782611069,0.000999000999000999
malawi-village,347,7,7,5,0.7142857142857143,1.0,355,1.0230547550432276,6.744076561200585,1.4225554690223121,0.9485348553095656,1.1217950031732211,0.000999000999000999
math-cocitations,16696,14,13,9,0.6428571428571429,0.9285714285714286,15132,0.9063248682319118,34.01719975665775,1.8053571194025417,0.9338547607738175,1.0821315632936264,0.000999000999000999
neuro-cocitations,22297,23,19,16,0.6956521739130435,0.8260869565217391,18053,0.8096604924429296,33.051018116629855,2.1242543379282326,0.8941742419937985,1.094129730645484,0.000999000999000999
physics-cocitations,42586,20,17,13,0.65,0.85,56697,1.3313530268163245,36.89969051596865,1.8439255034952018,0.9462882400821525,1.0636451436713252,0.000999000999000999
plant-pollinator-mpl-014,130,9,5,4,0.4444444444444444,0.5555555555555556,45,0.34615384615384615,3.802265200213688,2.5834026366365537,0.9380964365562475,1.0390952762180863,0.000999000999000999
plant-pollinator-mpl-015,3616,40,40,30,0.75,1.0,21944,6.06858407079646,3.439998729253454,1.4102516667953713,0.9940675002941115,1.0144606352296615,0.000999000999000999
plant-pollinator-mpl-016,241,17,9,7,0.4117647058823529,0.5294117647058824,142,0.5892116182572614,3.1308965120039978,3.056933205825239,0.9414773334919554,1.0284514180345323,0.000999000999000999
plant-pollinator-mpl-021,1351,24,21,15,0.625,0.875,2093,1.549222797927461,3.596746496249239,2.745487382389059,0.9580977046265909,1.024006071768939,0.000999000999000999
plant-pollinator-mpl-034,268,20,8,6,0.3,0.4,83,0.30970149253731344,2.6698143631220135,5.693354349219635,0.9554981416508985,1.0094818875878189,0.000999000999000999
plant-pollinator-mpl-044,1120,24,19,14,0.5833333333333334,0.7916666666666666,1571,1.4026785714285714,3.9235354593383907,2.6781507980073496,0.9599030033342701,1.0238935599311703,0.000999000999000999
plant-pollinator-mpl-049,546,26,16,11,0.4230769230769231,0.6153846153846154,556,1.0183150183150182,2.3986745779311534,3.7357043527991034,0.965154776879488,1.0127372035230557,0.000999000999000999
plant-pollinator-mpl-057,1549,25,24,18,0.72,0.96,4158,2.684312459651388,3.835059827321895,1.8564782392421568,0.9763982339167807,1.0275567609331242,0.000999000999000999
plant-pollinator-mpl-062,27139,83,83,61,0.7349397590361446,1.0,262048,9.655772136040385,4.441550425401962,1.2434886859657044,0.9980260854020914,1.0081068021295523,0.000999000999000999
senate-bills,22198,99,98,77,0.7777777777777778,0.98989898989899,258691,11.653797639426976,3.6075304889166837,1.6678956679878443,0.9966612197681199,1.0049989547648044,0.000999000999000999
senate-committees,12761,66,66,49,0.7424242424242424,1.0,129866,10.176788652926886,3.8173020054592675,1.3189930045470284,0.9962475432117878,1.0117634453882172,0.000999000999000999
sfhh-conference,9565,33,33,27,0.8181818181818182,1.0,46714,4.883847360167277,6.46715826739999,1.332430634684785,0.9876357566146751,1.0371934535968648,0.000999000999000999
