m,m_copy,kappa,kappa_copy,alpha,alpha_lb,alpha_ub,alpha_over_kappa,kappa_copy_over_kappa,n_cross,secs,label,domain
8317,8317,47,47,36,24,47,0.7659574468085106,1.0,98621,0.0,contact-primary-school,contact
5818,5748,24,24,19,12,24,0.7916666666666666,1.0,31850,0.0,contact-high-school,contact
1800,1633,19,18,15,9,18,0.7894736842105263,0.9473684210526315,3317,0.0,email-Enron,email
29299,28082,55,55,46,28,55,0.8363636363636363,1.0,234600,0.2,email-Eu,email
6222,2497,35,28,21,14,28,0.6,0.8,9064,0.0,NDC-classes,drugs
88268,73732,97,97,79,49,97,0.8144329896907216,1.0,1136357,0.6,NDC-substances,drugs
122963,121508,193,193,141,97,193,0.7305699481865285,1.0,5682552,1.4,DAWN,drugs
424932,424902,368,368,279,184,368,0.7581521739130435,1.0,44857465,9.9,congress-bills,legislation
91685,91460,119,119,96,60,119,0.8067226890756303,1.0,2666353,0.6,tags-math-sx,tags
132703,132136,118,118,97,59,118,0.8220338983050848,1.0,3288058,0.9,tags-ask-ubuntu,tags
