label,pattern,n,m,kappa,kappa_copy,alpha,m_copy,n_copies,copy_density,alpha_over_kappa,kappa_copy_over_kappa,alpha_lb,alpha_ub,max_hyperedge,window_days
"AG(2,7) pure",C4,105,392,7,0,0,0,0,0.0,0.0,0.0,0,0,,
"AG(2,11) pure",C4,253,1452,11,0,0,0,0,0.0,0.0,0.0,0,0,,
"AG(2,13) pure",C4,351,2366,13,0,0,0,0,0.0,0.0,0.0,0,0,,
"AG(2,17) pure",C4,595,5202,17,0,0,0,0,0.0,0.0,0.0,0,0,,
"AG(2,7) + 130 butterflies",C4,885,1172,7,2,1,520,130,0.11092150170648464,0.14285714285714285,0.2857142857142857,1,2,,
"AG(2,11) + 322 butterflies",C4,2185,3384,11,2,1,1288,322,0.09515366430260047,0.09090909090909091,0.18181818181818182,1,2,,
"AG(2,13) + 450 butterflies",C4,3051,5066,13,2,1,1800,450,0.08882747729964469,0.07692307692307693,0.15384615384615385,1,2,,
"AG(2,17) + 770 butterflies",C4,5215,9822,17,2,1,3080,770,0.07839543881083283,0.058823529411764705,0.11764705882352941,1,2,,
"AG(2,19) + 962 butterflies",C4,6513,12992,19,2,1,3848,962,0.07404556650246305,0.05263157894736842,0.10526315789473684,1,2,,
cliques(r=20) + cross gadgets,cross-K3,240,1380,19,3,2,355,120,0.08695652173913043,0.10526315789473684,0.15789473684210525,2,3,20.0,
cliques(r=40) + cross gadgets,cross-K3,480,5160,39,2,2,709,240,0.046511627906976744,0.05128205128205128,0.05128205128205128,1,2,40.0,
cliques(r=60) + cross gadgets,cross-K3,720,11340,59,2,2,1072,360,0.031746031746031744,0.03389830508474576,0.03389830508474576,1,2,60.0,
cliques(r=80) + cross gadgets,cross-K3,960,19920,79,2,2,1437,480,0.024096385542168676,0.02531645569620253,0.02531645569620253,1,2,80.0,
contact-primary-school,cross-K3,242,8317,47,47,36,8317,98621,11.857761211975472,0.7659574468085106,1.0,24,47,5.0,
email-Enron,cross-K3,143,1800,19,18,15,1633,3317,1.8427777777777778,0.7894736842105263,0.9473684210526315,9,18,18.0,
NDC-classes,cross-K3,1149,6222,35,28,21,2497,9064,1.45676631308261,0.6,0.8,14,28,24.0,
DAWN,cross-K3,1623,43212,102,102,77,41853,983141,22.7515736369527,0.7549019607843137,1.0,51,102,16.0,
congress-bills,cross-K3,1494,347901,368,368,269,347782,35076085,100.82202983032529,0.7309782608695652,1.0,184,368,25.0,
contact-primary-school (incidence),C4,12946,30729,4,4,3,23098,66664,2.169416512089557,0.75,1.0,2,4,,
email-Enron (incidence),C4,1600,4495,7,7,6,4087,36627,8.148387096774194,0.8571428571428571,1.0,4,7,,
NDC-classes (incidence),C4,2196,6402,15,15,11,5724,394108,61.560137457044675,0.7333333333333333,1.0,8,15,,
DAWN (incidence),C4,41623,138326,8,8,8,128045,6889980,49.80972485288377,1.0,1.0,4,8,,
congress-bills (incidence),C4,41494,401560,23,23,21,400945,28591584,71.20127502739317,0.9130434782608695,1.0,12,23,,
CollegeMsg W=1.0d,K3,433,628,3,3,3,147,66,0.10509554140127389,1.0,1.0,2,3,,1.0
CollegeMsg W=3.0d,K3,682,1576,5,4,4,525,298,0.18908629441624367,0.8,0.8,2,4,,3.0
CollegeMsg W=7.0d,K3,913,2829,7,6,5,1113,701,0.24779073877695298,0.7142857142857143,0.8571428571428571,3,6,,7.0
CollegeMsg W=7.0d,K3,342,462,3,3,2,69,35,0.07575757575757576,0.6666666666666666,1.0,2,3,,7.0
CollegeMsg W=30.0d,K3,1086,5851,14,12,10,3529,3674,0.6279268501110922,0.7142857142857143,0.8571428571428571,6,12,,30.0
CollegeMsg W=30.0d,K3,1320,6267,11,9,8,3316,2740,0.437210786660284,0.7272727272727273,0.8181818181818182,5,9,,30.0
CollegeMsg W=30.0d,K3,569,967,4,4,3,195,106,0.10961737331954498,0.75,1.0,2,4,,30.0
CollegeMsg W=30.0d,K3,408,665,4,4,3,125,63,0.09473684210526316,0.75,1.0,2,4,,30.0
