model,block,train,test,perfect_over_loc,learned_over_loc,capture,pred_corr
ridge,A,contact-primary-school,contact-high-school,1.3149893580660719,0.9895373567613118,-0.033215862602232867,0.3082182150848923
ridge,AB,contact-primary-school,contact-high-school,1.3149893580660719,0.997798945801875,-0.006987709717047982,0.3491646082695844
ridge,ABC,contact-primary-school,contact-high-school,1.3149893580660719,0.9995494786350118,-0.0014302748758062563,0.3523781722754214
gbt,ABC,contact-primary-school,contact-high-school,1.3149893580660719,0.9922805629742185,-0.02450697722988553,0.2390236788890299
ridge,A,contact-primary-school,email-Enron,1.80346655331272,1.0422181509150361,0.05254500108432545,0.48082728213559056
ridge,AB,contact-primary-school,email-Enron,1.80346655331272,0.8905506113176684,-0.13622146215180705,0.31280111005099126
ridge,ABC,contact-primary-school,email-Enron,1.80346655331272,0.9334031399868764,-0.0828869101502016,0.34892975538739
gbt,ABC,contact-primary-school,email-Enron,1.80346655331272,1.04674044203461,0.058173475724530896,0.4910755356125193
ridge,A,contact-primary-school,email-Eu,1.6725121109900603,1.2992906185272277,0.4450337973640615,0.8193634752521396
ridge,AB,contact-primary-school,email-Eu,1.6725121109900603,1.1502598078779462,0.22343063481300945,0.7043130882097961
ridge,ABC,contact-primary-school,email-Eu,1.6725121109900603,1.2243857648627465,0.3336531211793492,0.7416283817511009
gbt,ABC,contact-primary-school,email-Eu,1.6725121109900603,1.2654067294207576,0.3946497395117994,0.8220733589986985
ridge,A,contact-primary-school,NDC-classes,4.08325149712881,1.4998945250325315,0.16213225729332947,0.6268884959072557
ridge,AB,contact-primary-school,NDC-classes,4.08325149712881,1.4485394452889708,0.1454761136763123,0.6065981569740884
ridge,ABC,contact-primary-school,NDC-classes,4.08325149712881,1.6294726288250538,0.2041587036968059,0.6407909238043678
gbt,ABC,contact-primary-school,NDC-classes,4.08325149712881,1.1189871239409916,0.03859144284914644,0.5355227299748772
ridge,A,contact-primary-school,NDC-substances,1.9382074303228396,1.6053099209378243,0.6451770699892406,0.8843320309310311
ridge,AB,contact-primary-school,NDC-substances,1.9382074303228396,1.517838429645399,0.5519444985286565,0.8603577763254487
ridge,ABC,contact-primary-school,NDC-substances,1.9382074303228396,1.5520881855383464,0.5884500246905648,0.8641917293937027
gbt,ABC,contact-primary-school,NDC-substances,1.9382074303228396,1.3567968283530139,0.3802963148887439,0.8786848983738539
ridge,A,contact-primary-school,DAWN,1.0417909408473682,0.9912385514545036,-0.2096494687089147,0.9358223202493808
ridge,AB,contact-primary-school,DAWN,1.0417909408473682,0.9244767555486028,-1.8071678435579728,0.915505764814448
ridge,ABC,contact-primary-school,DAWN,1.0417909408473682,0.957765209388837,-1.0106207171888235,0.9184596875297847
gbt,ABC,contact-primary-school,DAWN,1.0417909408473682,1.0479409909269062,1.1471622785904627,0.8735578469347699
ridge,A,contact-primary-school,congress-bills,1.066851977621039,1.0111016811877949,0.1660636167074443,0.6236726238251127
ridge,AB,contact-primary-school,congress-bills,1.066851977621039,1.0005142025516705,0.007691658047654014,0.6885361399111889
ridge,ABC,contact-primary-school,congress-bills,1.066851977621039,1.0260345569050222,0.389435852632561,0.8069469003590527
gbt,ABC,contact-primary-school,congress-bills,1.066851977621039,0.9991980321379067,-0.011996172598503841,0.3491783673429777
ridge,A,contact-primary-school,tags-math-sx,1.1319030898951705,1.1377257419324434,1.0441434089368216,0.9482528110122577
ridge,AB,contact-primary-school,tags-math-sx,1.1319030898951705,1.1002742216665715,0.7602113168559135,0.9457826318890735
ridge,ABC,contact-primary-school,tags-math-sx,1.1319030898951705,1.1189307119308411,0.9016522056106561,0.9502750534750137
gbt,ABC,contact-primary-school,tags-math-sx,1.1319030898951705,1.0649475984705432,0.4923887569439053,0.8492245891224313
ridge,A,contact-primary-school,tags-ask-ubuntu,1.1923896562998082,1.2220339627625123,1.1540847207321179,0.9449005607154418
ridge,AB,contact-primary-school,tags-ask-ubuntu,1.1923896562998082,1.1925923275459682,1.0010534414898282,0.9427534484538218
ridge,ABC,contact-primary-school,tags-ask-ubuntu,1.1923896562998082,1.203456939440185,1.0575253542899952,0.9438951424004265
gbt,ABC,contact-primary-school,tags-ask-ubuntu,1.1923896562998082,1.0970812072284524,0.5046072075578065,0.8675760985808469
ridge,A,contact-primary-school,cs-cocitations,1.498426821066899,1.162164266124993,0.3253522067249009,0.6126583750081164
ridge,AB,contact-primary-school,cs-cocitations,1.498426821066899,1.1594268799627119,0.3198601544384257,0.6096914772460218
ridge,ABC,contact-primary-school,cs-cocitations,1.498426821066899,1.167936592643511,0.3369332980196315,0.6099613278256055
gbt,ABC,contact-primary-school,cs-cocitations,1.498426821066899,1.0529339853311446,0.10620212053965644,0.563026845605906
ridge,A,contact-primary-school,diseasome,3.9900640519565753,2.2851882405494974,0.4298196353715309,0.48570556004595966
ridge,AB,contact-primary-school,diseasome,3.9900640519565753,2.314186696941556,0.43951790801324336,0.4566548233386555
ridge,ABC,contact-primary-school,diseasome,3.9900640519565753,2.3113704557162857,0.43857604149254886,0.44947976675571916
gbt,ABC,contact-primary-school,diseasome,3.9900640519565753,0.9730212363257874,-0.00902280459729911,-0.08595619771668699
ridge,A,contact-primary-school,hospital-lyon,1.0879241574641232,1.0340160463719552,0.38687941235985357,0.8947528798486674
ridge,AB,contact-primary-school,hospital-lyon,1.0879241574641232,1.0081824407150606,0.09306248647761413,0.8560226485363325
ridge,ABC,contact-primary-school,hospital-lyon,1.0879241574641232,1.0130497749624736,0.14842081333333765,0.8582586281461033
gbt,ABC,contact-primary-school,hospital-lyon,1.0879241574641232,0.9697883371301922,-0.3436104904631638,0.43445707514731846
ridge,A,contact-primary-school,house-committees,6.46048355911533,1.4790066736240866,0.0877223909637944,0.37100648972943046
ridge,AB,contact-primary-school,house-committees,6.46048355911533,1.376009339401492,0.06886008085745624,0.29245124089995317
ridge,ABC,contact-primary-school,house-committees,6.46048355911533,1.4246507471738268,0.07776797468146315,0.29576752817652807
gbt,ABC,contact-primary-school,house-committees,6.46048355911533,1.095121645010643,0.01742000392105454,0.3260581141479758
ridge,A,contact-primary-school,hypertext-conference,1.1388262015279327,1.1005554571621419,0.7243262154796442,0.9548998082616085
ridge,AB,contact-primary-school,hypertext-conference,1.1388262015279327,1.0996068384047883,0.7174930762961691,0.9421860853340349
ridge,ABC,contact-primary-school,hypertext-conference,1.1388262015279327,1.1017203931454784,0.732717541976481,0.9444146962195571
gbt,ABC,contact-primary-school,hypertext-conference,1.1388262015279327,0.9822073546690095,-0.1281648934794954,0.5301118952769616
ridge,A,contact-primary-school,invs13,1.2663198563455473,1.051059219927331,0.19172141584922664,0.5981877144467348
ridge,AB,contact-primary-school,invs13,1.2663198563455473,1.0528392595064466,0.19840525686484387,0.6008525963742034
ridge,ABC,contact-primary-school,invs13,1.2663198563455473,1.0531075750117516,0.1994127502939361,0.6024473042250288
gbt,ABC,contact-primary-school,invs13,1.2663198563455473,0.9971132984423806,-0.010839227676189193,0.26288312484604914
ridge,A,contact-primary-school,math-cocitations,1.8053571194025417,1.162920217667422,0.20229561984661565,0.45859393364936807
ridge,AB,contact-primary-school,math-cocitations,1.8053571194025417,1.131305684075022,0.16304032200327695,0.42926638604971595
ridge,ABC,contact-primary-school,math-cocitations,1.8053571194025417,1.1494129387324954,0.18552383176712728,0.44322004325378145
gbt,ABC,contact-primary-school,math-cocitations,1.8053571194025417,1.011420528140947,0.01418070054365365,0.20647791870156348
ridge,A,contact-primary-school,neuro-cocitations,2.1242543379282326,1.1371964892481448,0.12203331988113064,0.5051776567553812
ridge,AB,contact-primary-school,neuro-cocitations,2.1242543379282326,0.9654673749533121,-0.0307160256195447,0.3816945334576195
ridge,ABC,contact-primary-school,neuro-cocitations,2.1242543379282326,0.986392711065197,-0.012103390198945923,0.3940060277503654
gbt,ABC,contact-primary-school,neuro-cocitations,2.1242543379282326,1.0245681391809343,0.021852830228974912,0.4227254348239053
ridge,A,contact-primary-school,physics-cocitations,1.8439255034952018,1.1438303529887885,0.1704301533643678,0.4982856376895021
ridge,AB,contact-primary-school,physics-cocitations,1.8439255034952018,1.0966862404748627,0.11456726935544312,0.4320977578678234
ridge,ABC,contact-primary-school,physics-cocitations,1.8439255034952018,1.1038532411917532,0.12305972596115965,0.42885677378606385
gbt,ABC,contact-primary-school,physics-cocitations,1.8439255034952018,1.004290747793113,0.005084273167883103,0.31806232577323557
ridge,A,contact-primary-school,plant-pollinator-mpl-014,2.5834026366365537,1.1143693087836353,0.07223008610531134,0.405781234332507
ridge,AB,contact-primary-school,plant-pollinator-mpl-014,2.5834026366365537,0.9116787077803057,-0.05577942727650462,0.18778357690026162
ridge,ABC,contact-primary-school,plant-pollinator-mpl-014,2.5834026366365537,0.8907016605356051,-0.06902750881896044,0.15775850412366857
gbt,ABC,contact-primary-school,plant-pollinator-mpl-014,2.5834026366365537,1.0531238689459697,0.033550448708873436,0.04496094224547249
ridge,A,contact-primary-school,plant-pollinator-mpl-015,1.4102516667953713,1.042098628773856,0.1026165941084509,0.6342077124372553
ridge,AB,contact-primary-school,plant-pollinator-mpl-015,1.4102516667953713,0.9472337030049768,-0.128619336046092,0.4548092289704887
ridge,ABC,contact-primary-school,plant-pollinator-mpl-015,1.4102516667953713,0.9701275048758129,-0.07281504876636408,0.4869546850197251
gbt,ABC,contact-primary-school,plant-pollinator-mpl-015,1.4102516667953713,0.9715098298580966,-0.06944559266376832,0.4311639074646974
ridge,A,contact-primary-school,plant-pollinator-mpl-016,3.056933205825239,0.8378225966173781,-0.07884427307767464,-0.03227114358911328
ridge,AB,contact-primary-school,plant-pollinator-mpl-016,3.056933205825239,0.6310781768242012,-0.1793552761611371,-0.23012163078912662
ridge,ABC,contact-primary-school,plant-pollinator-mpl-016,3.056933205825239,0.6773061319476624,-0.156881063098436,-0.1914735878554692
gbt,ABC,contact-primary-school,plant-pollinator-mpl-016,3.056933205825239,1.0799094893890695,0.038848849910520025,0.4251342675952412
ridge,A,contact-primary-school,plant-pollinator-mpl-021,2.745487382389059,1.1243104327458382,0.07121817894535208,0.4788904534885033
ridge,AB,contact-primary-school,plant-pollinator-mpl-021,2.745487382389059,0.8672583124932958,-0.07604849444687471,0.21073895848689542
ridge,ABC,contact-primary-school,plant-pollinator-mpl-021,2.745487382389059,0.8575061487080947,-0.08163556650685902,0.1914548885674116
gbt,ABC,contact-primary-school,plant-pollinator-mpl-021,2.745487382389059,1.050425724428174,0.028889194466221846,0.46160222226826003
ridge,A,contact-primary-school,plant-pollinator-mpl-034,5.693354349219635,0.8230815588750882,-0.037695521786955656,-0.2624951609701615
ridge,AB,contact-primary-school,plant-pollinator-mpl-034,5.693354349219635,0.6004544718078463,-0.0851300580486931,-0.3203157439964898
ridge,ABC,contact-primary-school,plant-pollinator-mpl-034,5.693354349219635,0.6305638286918159,-0.07871474084832532,-0.09152296943666724
gbt,ABC,contact-primary-school,plant-pollinator-mpl-034,5.693354349219635,1.111277756466245,0.023709643079633913,0.5024027113125427
ridge,A,contact-primary-school,plant-pollinator-mpl-044,2.6781507980073496,1.1109301862466134,0.06610263295666449,0.5292564192647614
ridge,AB,contact-primary-school,plant-pollinator-mpl-044,2.6781507980073496,0.8441078421726897,-0.09289520227408521,0.32905254502908055
ridge,ABC,contact-primary-school,plant-pollinator-mpl-044,2.6781507980073496,0.8383430091537895,-0.09633043170981025,0.3175575879269902
gbt,ABC,contact-primary-school,plant-pollinator-mpl-044,2.6781507980073496,1.0589177943079664,0.03510876041528919,0.5395218715714133
ridge,A,contact-primary-school,plant-pollinator-mpl-049,3.7357043527991034,0.9477940741606358,-0.01908317533871979,0.009061100837401422
ridge,AB,contact-primary-school,plant-pollinator-mpl-049,3.7357043527991034,0.7367399087449047,-0.0962311921555903,-0.10906129276205544
ridge,ABC,contact-primary-school,plant-pollinator-mpl-049,3.7357043527991034,0.8147364657154176,-0.06772059783983071,0.06329526816313749
gbt,ABC,contact-primary-school,plant-pollinator-mpl-049,3.7357043527991034,1.0966001710101478,0.03531089567895339,0.6334702301464457
ridge,A,contact-primary-school,plant-pollinator-mpl-057,1.8564782392421568,1.0608955935238051,0.071099989157562,0.6292424458269015
ridge,AB,contact-primary-school,plant-pollinator-mpl-057,1.8564782392421568,0.9180493491910053,-0.09568328423791314,0.5011820707026896
ridge,ABC,contact-primary-school,plant-pollinator-mpl-057,1.8564782392421568,0.936337702052228,-0.07433031574054086,0.49853289108286003
gbt,ABC,contact-primary-school,plant-pollinator-mpl-057,1.8564782392421568,1.0474212743301514,0.0553677515170864,0.6694870276159672
ridge,A,contact-primary-school,plant-pollinator-mpl-062,1.2434886859657044,1.07242902689806,0.2974636238673602,0.8174465722801753
