n,m,kappa,n_cross,copy_density,triple_fraction,loc_x,perfect_x,firstedge_x,perfect_over_loc,permuted_over_loc_mean,permuted_over_loc_lo,permuted_over_loc_hi,mindeg_over_loc,mindeg_capture,structural_share,structural_share_lo,structural_share_hi,perm_pvalue,n_perm,label,domain,secs
242,8317,47,98621,11.857761211975472,1.0,4.3399192509767754,4.912267581698716,3.975077566460537,1.1318799492854903,0.9967166123316142,0.9902559895570915,1.0022735781926142,1.0068647621403954,0.05205311480318196,1.0248967920155776,0.9827602436539274,1.0738854579160853,0.000999000999000999,1000,contact-primary-school,contact,1.5
327,5818,24,31850,5.474389824682022,1.0,7.1658939253767695,9.423074252900761,7.672910648344894,1.3149893580660719,0.9907635925369046,0.9786327666148049,1.0024317850094673,0.9626433014471747,-0.11859670047960605,1.029322919097343,0.9922797867699481,1.067834778661675,0.000999000999000999,1000,contact-high-school,contact,0.6
143,1800,19,3317,1.8427777777777778,1.0,5.274675733503944,9.512701264944601,6.857578869663618,1.80346655331272,0.9729371027520495,0.9254467322890586,1.0208538325988799,0.9945041853424803,-0.006840128733250016,1.0336826681040665,0.9740451764757366,1.0927895099099718,0.000999000999000999,1000,email-Enron,email,0.2
979,29299,55,234600,8.007099218403358,1.0,6.662427700628153,11.142991017896245,6.842073722828718,1.6725121109900603,0.9824738165500475,0.9702799683910512,0.9950311252620967,1.1455854503444312,0.21648004246362623,1.0260607700047972,1.007388528260983,1.0441925596926358,0.000999000999000999,1000,email-Eu,email,4.3
1149,6222,35,9064,1.45676631308261,1.0,5.679191626559656,23.189567711631113,14.919249694268931,4.08325149712881,0.9360648685606784,0.8533343829615428,1.0237612269712473,1.7416080286514333,0.24052790677050984,1.020736268675734,0.992293451574296,1.0475684896853323,0.000999000999000999,1000,NDC-classes,drugs,1.6
3438,88268,97,1136357,12.873940725970908,1.0,7.290115036565477,14.129755131779467,7.984404694804074,1.9382074303228396,0.9813977118205858,0.9713750579023582,0.9909151725463944,1.419497691560785,0.44712680586683784,1.019827479060801,1.0096831757668765,1.030510248770671,0.000999000999000999,1000,NDC-substances,drugs,29.2
2290,122963,193,5682552,46.21351138147248,0.7039090887333719,5.950622525645275,6.199304639619533,4.873988495524083,1.0417909408473682,0.9935811397811276,0.9893565498552079,0.9977851049050671,0.9458061785685107,-1.296783952039265,1.1535945372064185,1.0529994072883482,1.2546831903992013,0.000999000999000999,1000,DAWN,drugs,90.9
1718,424932,368,44857465,105.56386668925852,0.08917133413580103,4.1814929672199135,4.461034041487031,3.978402079787637,1.066851977621039,0.999586549339378,0.9950012492874568,1.0039809917320959,0.9827037644322064,-0.25872436662741716,1.006184568883898,0.940450651218385,1.0747734156927924,0.000999000999000999,1000,congress-bills,legislation,104.9
1627,91685,119,2666353,29.081670938539563,1.0,7.08782655369808,8.022732776771894,5.420841278259782,1.1319030898951705,0.9912793226376163,0.9875330614288621,0.9948971207676192,0.9980102409851576,-0.01508500685180153,1.0661142765443505,1.0386865784299395,1.0945158948213116,0.000999000999000999,1000,tags-math-sx,tags,47.9
3021,132703,118,3288058,24.777570966745287,1.0,9.459705330240324,11.279654787422722,6.910168238982016,1.1923896562998082,0.9821169164973356,0.9776802679663757,0.9864770383955216,1.0217858735281313,0.1132382787470734,1.0929524167078744,1.0702894420862472,1.1160131602857202,0.000999000999000999,1000,tags-ask-ubuntu,tags,75.3
