label,m,n,frac_zero,t_mean,t_std,t_cv,y_std,max_hyperedge,gini,best_feat_corr_A,R2_in_sample_A,best_feat_corr_AB,R2_in_sample_AB,best_feat_corr_ABC,R2_in_sample_ABC,capture
contact-primary-school,8317,242,0.0,35.573283635926416,15.002851653202976,0.4217449197760083,0.4829289321180998,5,0.2389916233058762,0.7654143749550424,0.6138756067560438,0.7654143749550424,0.6567702200350622,0.7654143749550424,0.660972652203019,0.308
contact-high-school,5818,327,0.012031625988312134,16.423169474046063,8.645556314871992,0.5264243499730534,0.7143815492368327,5,0.30191390367395865,0.36320275517788386,0.1407386872198052,0.36320275517788386,0.19586517940973536,0.36320275517788386,0.20392268622091203,-0.076
email-Enron,1800,143,0.09277777777777778,5.528333333333333,4.643786469873241,0.8399975525848492,0.7891730970144237,18,0.44897257673712304,0.4875384098533609,0.26643336845843446,0.4875384098533609,0.5689128013757149,0.4875384098533609,0.570135647728523,0.27
email-Eu,29299,979,0.04153725383118878,24.021297655210077,22.0089906434722,0.9162282137867177,1.0949775351832758,25,0.4796886268717548,0.8278242193702119,0.6946395972237058,0.8278242193702119,0.7664739871277928,0.8278242193702119,0.7703634470919577,0.618
NDC-classes,6222,1149,0.5986820957891353,4.370298939247831,7.296944042323068,1.669667028219113,1.1913566700036868,24,0.7611730798165248,0.6876753513567563,0.48754959540628495,0.6876753513567563,0.7306297168577293,0.6876753513567563,0.7359386552164537,0.31
NDC-substances,88268,3438,0.16468029183849187,38.62182217791272,44.555900521070114,1.1536457372679587,1.6237834038975816,25,0.5905507104173331,0.8994675101519035,0.8474586606587009,0.8994675101519035,0.9074487236183729,0.8994675101519035,0.9074570426203797,0.714
DAWN,122963,2290,0.011832827761196457,138.64053414441742,96.55088101878167,0.6964116346970194,1.1456634516666149,16,0.3947699766920371,0.9637005809975623,0.9547820618123486,0.9637005809975623,0.9628767514584007,0.9637005809975623,0.9630303038139204,0.219
congress-bills,424932,1718,7.05995312191127e-05,316.69160006777554,123.12780157670436,0.38879402406111696,0.6811002806752412,25,0.2132408440649474,0.8889074485785656,0.8082762743898831,0.8889074485785656,0.8941219857967512,0.8889074485785656,0.9096356373690109,0.624
tags-math-sx,91685,1627,0.0024540546436167313,87.2450128156187,68.1993163662064,0.7816987374434461,0.8994927816542448,5,0.41033217175405245,0.9427979917321474,0.9480636468549131,0.9427979917321474,0.9491201175321782,0.9427979917321474,0.9491208168949774,0.825
tags-ask-ubuntu,132703,3021,0.0042726991853989735,74.33271290023586,74.08000820093345,0.9966003568356024,1.0412948938511886,5,0.48221178687067395,0.9381205316673796,0.9556274004082045,0.9381205316673796,0.9562734888770157,0.9381205316673796,0.9563914579023798,0.887
